TA,TA Name,Locality ID,Suburb name,1/01/00,1/02/00,1/04/00,1/06/00,1/08/00,1/10/00,1/12/00,1/01/01,1/02/01,1/03/01,1/04/01,1/05/01,1/06/01,1/07/01,1/08/01,1/09/01,1/10/01,1/11/01,1/12/01,1/01/02,1/02/02,1/03/02,1/04/02,1/05/02,1/06/02,1/07/02,1/08/02,1/09/02,1/10/02,1/11/02,1/12/02,1/01/03,1/02/03,1/03/03,1/04/03,1/05/03,1/06/03,1/07/03,1/08/03,1/09/03,1/10/03,1/11/03,1/12/03,1/01/04,1/02/04,1/03/04,1/04/04,1/05/04,1/06/04,1/07/04,1/08/04,1/09/04,1/10/04,1/11/04,1/12/04,1/01/05,1/02/05,1/03/05,1/04/05,1/05/05,1/06/05,1/07/05,1/08/05,1/09/05,1/10/05,1/11/05,1/12/05,1/01/06,1/02/06,1/03/06,1/04/06,1/05/06,1/06/06,1/07/06,1/08/06,1/09/06,1/10/06,1/11/06,1/12/06,1/01/07,1/02/07,1/03/07,1/04/07,1/05/07,1/06/07,1/07/07,1/08/07,1/09/07,1/10/07,1/11/07,1/12/07,1/01/08,1/02/08,1/03/08,1/04/08,1/05/08,1/06/08,1/07/08,1/08/08,1/09/08,1/10/08,1/11/08,1/12/08,1/01/09,1/02/09,1/03/09,1/04/09,1/05/09,1/06/09,1/07/09,1/08/09,1/09/09,1/10/09,1/11/09,1/12/09,1/01/10,1/02/10,1/03/10,1/04/10,1/05/10,1/06/10,1/07/10,1/08/10,1/09/10,1/10/10,1/11/10,1/12/10,1/01/11,1/02/11,1/03/11,1/04/11,1/05/11,1/06/11,1/07/11,1/08/11,1/09/11,1/10/11,1/11/11,1/12/11,1/01/12,1/02/12,1/03/12,1/04/12,1/05/12,1/06/12,1/07/12,1/08/12,1/09/12,1/10/12,1/11/12,1/12/12,1/01/13,1/02/13,1/03/13,1/04/13,1/05/13,1/06/13,1/07/13,1/08/13,1/09/13,1/10/13,1/11/13,1/12/13,1/01/14,1/02/14,1/03/14,1/04/14,1/05/14,1/06/14,1/07/14,1/08/14,1/09/14,1/10/14,1/11/14,1/12/14,1/01/15,1/02/15,1/03/15,1/04/15,1/05/15,1/06/15,1/07/15,1/08/15,1/09/15,1/10/15,1/11/15,1/12/15,1/01/16,1/02/16,1/03/16,1/04/16,1/05/16,1/06/16,1/07/16,1/08/16,1/09/16,1/10/16,1/11/16,1/12/16,1/01/17,1/02/17,1/03/17,1/04/17,1/05/17,1/06/17,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,2793,Ahipara ,176700,172300,  ,  ,  ,160800,165000,161000,155300,158400,157100,154400,154500,159200,159200,156700,163200,169100,169800,167800,168800,  ,174000,177000,179100,178500,177300,175300,172700,173600,174900,177800,172000,173900,173800,176900,182800,185500,188200,194000,196800,201800,208600,213900,222000,227900,235900,235800,238900,239400,245900,250500,259400,272000,275800,278500,289900,291000,299900,309400,310700,312600,331600,328200,335000,340100,333800,331700,341400,348200,355600,351700,364300,368900,373100,378400,380200,380500,374100,376500,380500,379000,385200,383100,383700,386900,385300,389400,389200,389300,391200,394900,401500,398700,395700,390000,390300,390100,390900,385600,375200,369900,371800,365300,366900,361300,359200,356800,356800,355400,354500,352700,350600,349400,351200,349500,352000,348800,348800,347800,344700,344700,341700,340900,337100,329500,322100,323200,318000,316800,312500,312600,317500,318100,316000,312100,312100,308600,305500,305500,304800,304750,308350,308650,302650,302100,300100,296700,293650,299450,300600,299550,295150,291100,292150,294000,292700,294100,293250,294950,303900,301150,303600,296750,302200,299000,300700,298400,299050,293100,293800,297350,300550,305600,301300,302150,297950,297750,299950,297500,302000,301700,304000,308100,314700,317400,316850,319800,324400,327000,323950,327800,329900,331400,331950,332500,335600,338150,339950,347800,351400,351750,365500,373600,380650,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,2807,Cable Bay ,203800,195900,189400,  ,195800,198100,199600,  ,  ,  ,212600,  ,212500,  ,215300,214600,214400,  ,212400,207100,202100,206600,208000,202400,201800,204900,207300,209900,214200,214800,220100,222200,225600,226400,223400,224800,230700,225800,229300,232900,238500,242400,242800,249100,281800,280900,293500,288000,289900,301400,307300,316100,  ,  ,  ,361300,374400,387900,392700,393100,403600,404500,397500,396900,413900,416700,424600,423000,421400,434200,437600,443600,448000,445000,449700,456900,454300,454100,454600,460900,468000,468100,470900,474000,477400,479400,475100,480200,478500,476500,481600,473600,479500,473700,471100,469200,466900,456800,454100,445700,445300,441600,439200,437900,435400,437500,430200,425100,420300,418200,417800,414900,412600,411200,410900,409800,412000,410700,413200,411800,414000,414500,407500,407900,402500,396900,393300,380600,379000,367000,363600,362800,355000,353900,345800,338500,343200,337400,341900,340100,341250,343100,346050,352650,340450,347350,342750,339150,346550,342600,345550,351500,347950,344000,345800,344800,343550,337600,338350,339350,342800,337150,337800,339550,334750,341450,348150,346700,342200,346700,348450,347800,351250,351950,354450,350850,356550,364450,357950,358900,360100,364000,368000,366850,373600,374700,380250,374950,378950,380850,393500,396150,399150,399500,402900,406500,414750,415850,424700,426500,430300,434700,456100,459300,459800,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,2809,Coopers Beach ,206000,  ,  ,194300,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,211200,  ,  ,209600,210500,210800,210800,212600,  ,  ,  ,  ,  ,  ,  ,  ,236100,  ,240400,  ,  ,  ,  ,264100,274400,288500,298000,300600,308200,  ,329700,  ,  ,  ,373000,373400,384000,398500,405500,418100,412900,417000,417600,419200,433600,438600,439000,436900,442700,453800,458200,471600,476100,474800,478900,480400,480500,484200,483600,489500,489200,497200,504500,508800,510200,511300,511600,518800,515500,519700,520600,500100,515300,505900,492700,482800,481800,473700,  ,  ,  ,455400,  ,462200,463200,457800,446600,443500,443400,442700,441500,435000,433800,433000,431900,433600,445100,442100,447100,447100,444200,443200,442000,433900,427200,418000,414300,394800,396700,385700,382100,380600,370400,374600,372500,364300,366600,361300,357000,349850,349850,354050,365100,361850,357500,360100,360450,369800,355100,372500,356350,365000,365750,358950,359600,363950,360000,355400,361050,362250,365400,361050,363250,358250,358200,364500,372300,367250,367400,373900,373500,372700,377950,378800,374000,374150,377200,381700,377200,377850,387800,380600,385050,391000,398500,396850,395650,391650,397250,394000,414700,418500,421400,427400,427250,429050,436450,441150,445250,452200,451650,450450,465650,471950,480050,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,2814,Haruru ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,195800,196000,190100,191100,187600,187700,194000,193000,194800,198200,  ,  ,  ,  ,  ,  ,234400,231900,231100,230400,235500,240300,239500,  ,  ,  ,273900,  ,  ,  ,  ,  ,294700,  ,  ,  ,  ,  ,  ,334200,339700,344300,349500,354000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,384600,387800,392400,  ,  ,  ,  ,  ,403600,  ,  ,  ,  ,  ,  ,  ,  ,412200,411400,404400,391800,387600,383800,374500,366700,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,344400,339600,336900,336600,337400,338200,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,337900,  ,339950,336750,334850,333850,332950,334050,  ,  ,351650,348650,348250,351200,351050,351050,348900,349250,346900,340650,344400,340400,338200,341100,338350,338350,338900,350100,349750,355400,361800,365150,362900,370900,372050,381000,384800,376200,376200,379900,385200,382650,387000,396900,404850,410500,411150,414600,413750,430900,447950,457700,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,2810,Hihi ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,379300,380600,384000,383900,372700,380100,382200,382400,  ,  ,  ,  ,  ,  ,  ,  ,394900,400500,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,308750,  ,  ,  ,  ,  ,308900,319950,318500,  ,311350,298200,297700,299100,294900,295050,292750,301800,308100,309700,  ,  ,  ,  ,  ,  ,  ,  ,293250,295250,299550,303800,  ,313150,  ,294300,287600,289450,306350,307000,314400,317900,327100,329050,331500,334600,338250,334700,332800,335700,337000,338050,340000,338200,338350,341400,353250,359850,367000,370750,385000,389600,402150,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,6569,Kaeo ,  ,  ,  ,143500,  ,142800,149000,  ,  ,  ,  ,  ,  ,153100,151800,  ,  ,  ,  ,  ,  ,  ,159700,160900,  ,160000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,203900,  ,  ,214500,221100,237300,  ,  ,  ,  ,  ,  ,  ,285600,  ,296300,  ,300800,304200,  ,302200,  ,  ,  ,  ,  ,299700,308900,  ,  ,345500,346500,352500,344700,342600,358100,354400,363100,369100,371600,372700,373000,373600,372800,372400,374500,382200,376400,383300,391400,373600,372700,376300,348600,  ,  ,335700,333700,332900,327000,326200,327600,330700,326300,326700,324700,323200,322400,320200,316500,312200,314700,317400,319000,341200,317900,317400,322400,327400,315100,308500,  ,  ,  ,  ,  ,  ,  ,  ,  ,282200,278100,279400,275300,  ,  ,  ,  ,  ,  ,  ,281550,  ,  ,  ,  ,  ,272250,269250,  ,  ,272150,  ,272800,274650,274000,275800,270850,276700,273700,278150,277300,277450,274800,281900,279100,294100,284300,283850,282000,283800,290650,308900,303100,306250,304750,308100,302800,294150,297500,299900,295000,290750,291850,311050,  ,291400,294000,303500,307100,313600,323500,334200,323000,323450,330050,339300,341200,374100,381200, ,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,4017,Kaikohe ,78200,80400,78700,81300,82100,80800,85500,85500,85600,84700,85900,86200,84600,86000,84200,77100,78100,79200,79900,79300,78700,80700,79300,79600,80900,82100,83800,82100,82100,84300,81700,78100,78300,81900,83000,80300,78800,82800,81900,84400,84300,86500,87900,88800,91100,92900,94400,94100,94100,97100,96400,98100,95600,100400,100400,101900,106800,109600,116600,119500,118700,124400,122100,126700,122200,127000,129200,134100,135500,137700,140300,139600,139700,141200,143900,145900,150800,149800,151800,149000,157900,159700,162500,165200,169100,170800,172500,173400,176600,177800,180500,183800,185300,180200,178900,179900,181100,175100,173700,170900,170500,169500,169200,168400,165200,163200,162900,163600,162200,163600,162900,161300,160000,160100,159400,158900,159400,160500,159300,158700,160200,159600,156400,157200,156400,153200,151300,142200,142200,142800,146000,147000,144600,145900,144700,140700,156300,156800,158600,129050,128600,130600,127350,121300,123100,118900,121350,126000,131000,131450,126800,127600,133600,138600,139400,139600,139950,137350,136900,139250,138300,138200,135850,136950,137800,137700,138450,138400,140000,135250,138250,137650,130800,133700,128450,130350,129300,130750,136200,129850,139450,137600,137350,143100,141300,140700,136700,139300,141150,143350,138100,141400,143150,145450,145850,146750,148100,152000,153450,156200,157650,162150,173150,174250,177100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,640,Kaitaia ,86100,90400,94000,90900,91200,91800,93200,94600,93800,93000,91900,92200,91200,92900,95100,95400,95200,91700,90300,89800,91900,94900,96200,98100,98500,99700,99100,98300,99600,98200,97300,95800,94400,92600,92400,93600,92500,94700,94800,97600,98000,101200,104000,103600,105100,107800,107700,105400,107400,109400,110500,111700,114500,117200,120800,123100,127600,131400,136700,137900,140600,144600,145000,149000,150600,159100,162000,166700,169400,175800,176100,179400,179300,179500,182600,185600,184400,186400,189100,195900,198200,196700,200400,203000,206100,208000,208600,210000,211500,214200,215600,214200,215200,217000,217600,215200,211500,210300,209600,205700,206100,202700,206000,197700,198500,196700,196400,195800,195100,194100,195600,194100,195800,196600,196100,196600,197200,197100,196300,196100,195700,192500,190900,190400,185200,184000,182800,180700,179200,174900,175400,174000,170000,169100,162300,159800,164900,163900,173200,172650,172650,174600,171400,170650,167300,163400,167100,165800,161700,165850,163950,171150,165800,161300,163400,163400,162000,161450,161500,162500,159250,160600,157650,158400,157300,157300,156700,156300,157100,157500,156500,157350,156800,154850,155650,158450,161950,163550,163600,167550,166200,164800,165150,162800,163000,163450,165150,167100,167850,172650,177200,180750,183050,186600,186250,187050,188350,192300,192500,192850,191300,193550,208450,211800,211900,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,2804,Karikari Peninsula ,158700,166700,  ,  ,159800,162500,170700,178000,174700,176800,  ,  ,  ,  ,  ,171000,167700,169600,170000,169800,167800,171900,173200,171500,170700,171800,172900,174500,174100,173600,176500,181400,174600,173100,181800,186800,187600,185700,194000,198300,201900,207700,211100,215100,223200,239200,244000,245900,252900,268000,267200,271500,287900,286200,292300,300900,314200,326800,329000,331400,336300,337100,332200,333400,341800,340400,331200,336300,346900,369400,375000,379700,380500,381500,382000,387300,395800,390200,388800,391900,392600,402700,402900,406000,407700,408600,407300,407400,406100,405500,407800,407300,411100,408900,403100,401700,397900,393600,390200,383800,382900,379200,378700,375800,377400,378800,368100,364900,363400,362400,362700,357500,356000,351900,353100,351900,352100,351300,353300,351900,347400,347300,340200,336200,334700,336600,333600,324100,322900,316500,312700,315500,310500,306700,304400,297800,298400,291600,289600,293200,290950,294950,296650,297500,294900,299750,298450,300000,303050,304750,305500,308650,306850,307150,309800,308900,308200,305500,307600,306600,306900,299700,301350,298000,298550,307350,309100,308150,303450,308550,313750,305700,311100,313750,315800,318750,322300,328800,318050,316050,319350,312450,316100,324800,329500,332950,331600,332700,330850,337700,349050,350150,350950,353700,355300,356100,357950,359300,363650,368400,371650,376750,396750,402250,402650,,,,,,,,,,,,,,,,,,,,,,,,,
1,Far North District ,2822,Kawakawa ,81900,86500,84600,86300,85100,88400,88500,87900,87800,87100,86600,  ,85900,84800,83800,81800,81100,79300,81000,80400,81200,81400,80300,82000,85300,81900,83300,80900,81600,82700,  ,  ,  ,83100,85200,85900,86200,85900,86700,87300,86200,88100,86600,89300,89600,91500,91600,91900,93900,97700,97100,99500,100600,105500,108500,104700,104400,102800,111300,107000,  ,  ,  ,122000,127200,128500,128100,128900,134200,145200,  ,154600,157500,159000,170400,169400,168900,167500,171000,172400,175400,175100,178900,186300,191300,191100,194600,195300,198000,200900,204100,204400,198800,194200,194500,195400,193000,194000,189800,185700,185200,187200,187900,188100,187100,185100,190100,191100,190900,190800,174600,174700,174800,175100,174800,174100,174300,174900,175000,174300,174300,173500,169600,174500,174300,  ,  ,  ,  ,  ,  ,  ,161500,161800,159900,158100,158700,157100,159900,154850,151800,153250,155350,  ,147650,  ,  ,  ,153500,155800,146650,  ,157400,153250,154000,151600,151400,151350,150550,153050,150350,150950,147350,148300,148000,  ,160350,157650,158250,158050,157900,156900,157450,154850,143150,149200,148650,148100,147000,147100,150350,149450,147350,146250,145900,148150,148700,149850,151100,158700,171950,178100,182600,184800,184300,184100,186900,193750,190050,194150,197300,203650,207200,207950,211800,,,,,,,,,,,,,,,,,,,,,,,,,
